Date,signal,position
2024-04-26,-1,-0.7311405633150352
2024-04-27,-1,-0.7849124506520282
2024-04-28,-1,-0.8279299605216226
2024-04-29,-1,-0.8623439684172982
2024-04-30,0,-0.6898751747338386
2024-05-01,0,-0.551900139787071
2024-05-02,0,-0.4415201118296568
2024-05-03,0,-0.35321608946372546
2024-05-04,-1,-0.4825728715709804
2024-05-05,-1,-0.5860582972567843
2024-05-06,-1,-0.6688466378054274
2024-05-07,-1,-0.735077310244342
2024-05-08,-1,-0.7880618481954735
2024-05-09,0,-0.6304494785563789
2024-05-10,-1,-0.7043595828451032
2024-05-11,-1,-0.7634876662760826
2024-05-12,-1,-0.810790133020866
2024-05-13,1,-0.4486321064166929
2024-05-14,0,-0.3589056851333543
2024-05-15,1,-0.08712454810668346
2024-05-16,0,-0.06969963848534677
2024-05-17,-1,-0.2557597107882774
2024-05-18,-1,-0.404607768630622
2024-05-19,-1,-0.5236862149044976
2024-05-20,-1,-0.6189489719235981
2024-05-21,1,-0.2951591775388785
2024-05-22,0,-0.2361273420311028
2024-05-23,0,-0.18890187362488225
2024-05-24,-1,-0.35112149889990585
2024-05-25,-1,-0.4808971991199247
2024-05-26,-1,-0.5847177592959398
2024-05-27,-1,-0.6677742074367519
2024-05-28,-1,-0.7342193659494016
2024-05-29,0,-0.5873754927595213
2024-05-30,0,-0.46990039420761703
2024-05-31,1,-0.17592031536609365
2024-06-01,-1,-0.34073625229287496
2024-06-02,-1,-0.47258900183429997
2024-06-03,1,-0.17807120146744
2024-06-04,1,0.057543038826048026
2024-06-05,0,0.046034431060838425
2024-06-06,-1,-0.16317245515132928
2024-06-07,0,-0.13053796412106342
2024-06-08,-1,-0.30443037129685074
2024-06-09,0,-0.2435442970374806
2024-06-10,0,-0.19483543762998448
2024-06-11,1,0.044131649896012426
2024-06-12,0,0.03530531991680994
2024-06-13,1,0.22824425593344796
2024-06-14,0,0.1825954047467584
2024-06-15,0,0.14607632379740673
2024-06-16,0,0.11686105903792539
2024-06-17,0,0.09348884723034032
2024-06-18,1,0.27479107778427225
2024-06-19,0,0.21983286222741782
2024-06-20,0,0.17586628978193428
2024-06-21,0,0.14069303182554743
2024-06-22,0,0.11255442546043795
2024-06-23,0,0.09004354036835037
2024-06-24,-1,-0.1279651677053197
2024-06-25,1,0.09762786583574423
2024-06-26,0,0.07810229266859539
